,T_max,m,n,number of guesses,parameter,time estimation,time_burn_in,true value,value,weight function
0,14400.0,0,0,50,nu,720.0,100,0.2,0.20423350609867466,Adaptive Biweight with first width 2880.0
1,14400.0,0,0,50,alpha,720.0,100,1.2,1.2214374162034836,Adaptive Biweight with first width 2880.0
2,14400.0,0,0,50,beta,720.0,100,2.0,2.0220555352828145,Adaptive Biweight with first width 2880.0
3,14400.0,0,0,50,nu,720.0,100,0.2,0.2021550543453596,Adaptive Biweight with first width 2880.0
4,14400.0,0,0,50,alpha,720.0,100,1.2,1.1967051920506429,Adaptive Biweight with first width 2880.0
5,14400.0,0,0,50,beta,720.0,100,2.0,1.9762829768687649,Adaptive Biweight with first width 2880.0
6,14400.0,0,0,50,nu,720.0,100,0.2,0.2053143890942104,Adaptive Biweight with first width 2880.0
7,14400.0,0,0,50,alpha,720.0,100,1.2,1.2033795177069069,Adaptive Biweight with first width 2880.0
8,14400.0,0,0,50,beta,720.0,100,2.0,1.991984082668795,Adaptive Biweight with first width 2880.0
9,14400.0,0,0,50,nu,720.0,100,0.2,0.2053609325945756,Adaptive Biweight with first width 2880.0
10,14400.0,0,0,50,alpha,720.0,100,1.2,1.2174576218282758,Adaptive Biweight with first width 2880.0
11,14400.0,0,0,50,beta,720.0,100,2.0,2.005035243873224,Adaptive Biweight with first width 2880.0
12,14400.0,0,0,50,nu,720.0,100,0.2,0.20430769821875588,Adaptive Biweight with first width 2880.0
13,14400.0,0,0,50,alpha,720.0,100,1.2,1.1990448813624008,Adaptive Biweight with first width 2880.0
14,14400.0,0,0,50,beta,720.0,100,2.0,2.0029056861381105,Adaptive Biweight with first width 2880.0
15,14400.0,0,0,50,nu,720.0,100,0.2,0.19337253086750952,Adaptive Biweight with first width 2880.0
16,14400.0,0,0,50,alpha,720.0,100,1.2,1.2470683803609557,Adaptive Biweight with first width 2880.0
17,14400.0,0,0,50,beta,720.0,100,2.0,2.012733918430917,Adaptive Biweight with first width 2880.0
18,14400.0,0,0,50,nu,720.0,100,0.2,0.19987755507596305,Adaptive Biweight with first width 2880.0
19,14400.0,0,0,50,alpha,720.0,100,1.2,1.1722280801219984,Adaptive Biweight with first width 2880.0
20,14400.0,0,0,50,beta,720.0,100,2.0,2.0160614021853283,Adaptive Biweight with first width 2880.0
21,14400.0,0,0,50,nu,720.0,100,0.2,0.20103842397957167,Adaptive Biweight with first width 2880.0
22,14400.0,0,0,50,alpha,720.0,100,1.2,1.1837508762532574,Adaptive Biweight with first width 2880.0
23,14400.0,0,0,50,beta,720.0,100,2.0,1.9993006207214608,Adaptive Biweight with first width 2880.0
24,14400.0,0,0,50,nu,720.0,100,0.2,0.202096992917686,Adaptive Biweight with first width 2880.0
25,14400.0,0,0,50,alpha,720.0,100,1.2,1.1790173998486,Adaptive Biweight with first width 2880.0
26,14400.0,0,0,50,beta,720.0,100,2.0,1.9476929093335649,Adaptive Biweight with first width 2880.0
27,14400.0,0,0,50,nu,720.0,100,0.2,0.20991863428090488,Adaptive Biweight with first width 2880.0
28,14400.0,0,0,50,alpha,720.0,100,1.2,1.239591463543362,Adaptive Biweight with first width 2880.0
29,14400.0,0,0,50,beta,720.0,100,2.0,2.0454510717447443,Adaptive Biweight with first width 2880.0
30,14400.0,0,0,50,nu,720.0,100,0.2,0.20193435059043952,Adaptive Biweight with first width 2880.0
31,14400.0,0,0,50,alpha,720.0,100,1.2,1.219988921302651,Adaptive Biweight with first width 2880.0
32,14400.0,0,0,50,beta,720.0,100,2.0,2.0536820038615042,Adaptive Biweight with first width 2880.0
33,14400.0,0,0,50,nu,720.0,100,0.2,0.2003590295940925,Adaptive Biweight with first width 2880.0
34,14400.0,0,0,50,alpha,720.0,100,1.2,1.1908393293391415,Adaptive Biweight with first width 2880.0
35,14400.0,0,0,50,beta,720.0,100,2.0,1.968669605501932,Adaptive Biweight with first width 2880.0
36,14400.0,0,0,50,nu,720.0,100,0.2,0.1953917476958676,Adaptive Biweight with first width 2880.0
37,14400.0,0,0,50,alpha,720.0,100,1.2,1.1962093495684931,Adaptive Biweight with first width 2880.0
38,14400.0,0,0,50,beta,720.0,100,2.0,1.9515002985106973,Adaptive Biweight with first width 2880.0
39,14400.0,0,0,50,nu,720.0,100,0.2,0.19912362534875305,Adaptive Biweight with first width 2880.0
